Long_sample_name,Sample,Antibiotic,Experiment,Day,Group,Mouse
D7_C3,IGF122903,spec,ME1,1,Control,3
D7_T1,IGF122904,none,ME1,1,DSS,1
D7_T1,IGF122905,spec,ME1,1,DSS,1
D7_T2,IGF122906,none,ME1,1,DSS,2
D7_T2,IGF122907,spec,ME1,1,DSS,2
D7_T3,IGF122908,none,ME1,1,DSS,3
D7_T3,IGF122909,spec,ME1,1,DSS,3
D8_C1,IGF122910,none,ME1,2,Control,1
D8_C1,IGF122911,spec,ME1,2,Control,1
D8_C2,IGF122912,none,ME1,2,Control,2
D8_C2,IGF122913,spec,ME1,2,Control,2
D8_C3,IGF122914,none,ME1,2,Control,3
D8_C3,IGF122915,spec,ME1,2,Control,3
D10_C2,IGF122916,none,ME1,4,Control,2
D10_C2,IGF122917,spec,ME1,4,Control,2
D12_C2,IGF122918,none,ME1,6,Control,2
D12_C2,IGF122919,spec,ME1,6,Control,2
D14_C2,IGF122922,none,ME1,8,Control,2
D14_C2,IGF122923,spec,ME1,8,Control,2
ME1_gavage,IGF122926,none,ME1,0,gavage,None
ME1_gavage,IGF122927,spec,ME1,0,gavage,None
ME4_D12_G10,ME4_D12_G10,none,ME4,12,5 mg strep,1
ME4_D12_G11,ME4_D12_G11,none,ME4,12,5 mg strep,2
ME4_D2_G10,ME4_D2_G10,none,ME4,2,5 mg strep,1
ME4_D2_G11,ME4_D2_G11,none,ME4,2,5 mg strep,2
ME4_D2_G20,ME4_D2_G20,none,ME4,2,1 mg strep,1
ME4_D2_G21,ME4_D2_G21,none,ME4,2,1 mg strep,2
ME4_D2_G30,ME4_D2_G30,none,ME4,2,0 mg strep,1
ME4_D2_G31,ME4_D2_G31,none,ME4,2,0 mg strep,2
ME4_D4_G10,ME4_D4_G10,none,ME4,4,5 mg strep,1
ME4_D4_G11,ME4_D4_G11,none,ME4,4,5 mg strep,2
ME4_D7_G10,ME4_D7_G10,none,ME4,7,5 mg strep,1
ME4_D7_G11,ME4_D7_G11,none,ME4,7,5 mg strep,2
ME4_gavage,ME4_gavage,none,ME4,0,gavage,None
D11_G1M0,D11_G1M0,none,ME6,1,Control,1
D11_G1M0,D11_G1M0_Spec,spec,ME6,1,Control,1
D11_G1M1,D11_G1M1,none,ME6,1,Control,2
D11_G1M1,D11_G1M1_Spec,spec,ME6,1,Control,2
D11_G1M2,D11_G1M2,none,ME6,1,Control,3
D11_G1M2,D11_G1M2_Spec,spec,ME6,1,Control,3
D11_G1M3,D11_G1M3,none,ME6,1,Control,4
