"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"ME4_D12_G10","1558011","1423172","1423133","1423122","1422674","1422674"
"ME4_D12_G11","2028165","1906644","1906636","1906623","1905854","1905854"
"ME4_D2_G10","1195445","1078588","1078518","1078539","1078013","1078013"
"ME4_D2_G11","1463344","1356619","1356558","1356511","1355497","1355497"
"ME4_D2_G20","1823136","1699998","1699896","1699845","1698775","1698692"
"ME4_D2_G21","1452533","1346182","1346106","1346133","1345598","1345579"
"ME4_D2_G30","1597935","1480934","1480845","1480798","1480072","1479808"
"ME4_D2_G31","1088132","1007686","1006481","1007437","1001361","1001319"
"ME4_D4_G10","906213","847166","847144","847139","846550","846546"
"ME4_D4_G11","1417171","1324980","1324912","1324893","1324137","1324102"
"ME4_D7_G10","1671595","1565037","1564976","1564853","1563876","1563865"
"ME4_D7_G11","1615831","1521027","1520978","1520946","1520026","1519804"
"ME4_gavage","1671252","1553414","1553353","1553275","1552765","1552761"
