"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"C10","3071065","2757348","2756143","2756473","2740853","2740796"
"C10S","3929705","3760830","3759224","3759218","3736855","3736740"
"C11","4193025","4013975","4013065","4013571","3997828","3997659"
"C11S","3456143","3304812","3303866","3303355","3287549","3287511"
"C12","3857343","3712065","3710985","3711025","3687591","3687389"
"C12S","3774564","3631340","3629945","3630590","3609127","3609041"
"C13","4128578","3958464","3958107","3958077","3926070","3925783"
"C13S","3022229","2911484","2911308","2911124","2886112","2886112"
"C20","4633531","4423684","4422875","4423057","4407077","4406687"
"C20S","3715321","3574791","3574372","3574340","3561747","3561707"
"C21","5180706","4937202","4936648","4936612","4913511","4911344"
"C21S","3862499","3696030","3695672","3695349","3682927","3682782"
"C22","5015884","4780724","4779800","4779809","4749486","4748527"
"C22S","5099327","4884421","4884031","4883889","4861733","4861623"
"C23","5990970","5749822","5749404","5749197","5713710","5713287"
"C23S","4043194","3878463","3877755","3877308","3859141","3858859"
"F10","3466523","3288371","3285995","3286693","3259322","3253333"
"F10S","4031285","3856519","3854829","3855460","3836281","3831664"
"F11","3358471","3215458","3214535","3214779","3198342","3198173"
"F11S","3276277","3160650","3160119","3160262","3145218","3145208"
"F12","4046181","3858832","3857856","3858044","3829445","3829312"
"F12S","4096607","3926435","3925937","3925971","3903998","3903908"
"F13","6149123","5887396","5886187","5886855","5860870","5857933"
"F13S","2615309","2460239","2459857","2459472","2449060","2448983"
"F20","3710918","3527170","3526389","3526270","3509105","3509077"
"F20S","3190147","3062610","3062315","3062363","3051069","3050570"
"F21","4949636","4723298","4722811","4722969","4684158","4681632"
"F21S","3323034","3185306","3184884","3184888","3167068","3166693"
"F22","4186954","4006468","4005897","4006028","3988212","3985116"
"F22S","4554494","4406587","4406268","4405884","4392658","4389729"
"F23","3808372","3653345","3653022","3653044","3640206","3639960"
"F23S","3633171","3504653","3504227","3504242","3496501","3496360"
"G","2656039","2521093","2519051","2519165","2499938","2499929"
"GS","3067239","2937286","2936509","2936523","2917519","2914639"
"PC10","2600424","2476697","2475590","2475661","2452453","2448917"
"PC10S","3535318","3367149","3365501","3366017","3343955","3341290"
"PC11","3493509","3320775","3319471","3319693","3273234","3273087"
"PC11S","3313526","3173550","3172899","3173097","3159187","3159122"
"PC12","3661413","3494924","3493913","3493936","3477537","3477292"
"PC12S","3395129","3250661","3249800","3249436","3225907","3225895"
"PC13","1103338","1031667","1031499","1031520","1024460","1024050"
"PC13S","6601935","6291070","6290290","6290100","6239117","6238664"
"PC20","4475651","4284475","4283132","4282890","4260996","4260371"
"PC20S","3293759","3154393","3153642","3153683","3140105","3140046"
"PC21","3527904","3360815","3360393","3360249","3333113","3331280"
"PC21S","5176827","4947564","4947048","4946542","4912910","4912593"
"PC22","1237544","1176653","1176103","1176243","1170124","1169946"
"PC22S","6040541","5805069","5804634","5804673","5785413","5784865"
"PC23","626449","489834","488661","489341","484340","484340"
"PC23S","3111854","2942739","2942448","2942382","2933334","2932948"
"SI10","5047426","4830181","4829641","4829608","4804855","4804616"
"SI10S","4011085","3850923","3850338","3850586","3832433","3832278"
"SI11","3821192","3693947","3693886","3693656","3683849","3683437"
"SI11S","4678662","4529830","4529676","4529659","4517630","4517558"
"SI12","5265981","5056507","5056171","5055948","4985732","4983831"
"SI12S","3555113","3376507","3376402","3376319","3351734","3350847"
"SI13","2909160","2786064","2785976","2785899","2638799","2638559"
"SI13S","3876317","3728580","3728457","3728406","3644435","3644397"
"SI20","3631555","3464393","3463709","3463494","3437423","3436574"
"SI20S","4297474","4123124","4122818","4121844","4108462","4107958"
"SI21","3974206","3799375","3798824","3799040","3782104","3781208"
"SI21S","3838558","3677785","3677452","3677402","3664751","3664675"
"SI22","3940918","3757151","3756365","3756420","3738583","3737757"
"SI22S","3591746","3447170","3446851","3446709","3433969","3433539"
"SI23","4492113","4308717","4307868","4307430","4287077","4286187"
"SI23S","3497091","3356778","3356454","3356627","3344454","3344186"
