"","Long_sample_name","Experiment","Day","Group","Mouse","sensor","bc","reads_none","reads_spec","fabR_normalisation_factor_none","fabR_normalisation_factor_spec","none","spec","odds_ratio"
"1","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS10",1,53611,20,4050,9995.00000000001,13.2372839506173,0.00200100050025012,0.00015116397802714
"2","Aerobic_SOC2","LB012","None","None","None","E_faecalis_TCS2",2,12257,18630,4050,9995.00000000001,3.02641975308642,1.86393196598299,0.615886796298532
"3","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS8",3,16667,5827,4050,9995.00000000001,4.11530864197531,0.582991495747874,0.14166410018473
"4","Aerobic_SOC2","LB012","None","None","None","V_cholera_TCS2",4,5306,12461,4050,9995.00000000001,1.31012345679012,1.24672336168084,0.951607541426197
"5","Aerobic_SOC2","LB012","None","None","None","B_frag_TCS3",5,3231,7073,4050,9995.00000000001,0.797777777777778,0.707653826913456,0.887031259362271
"6","Aerobic_SOC2","LB012","None","None","None","B_frag_TCS3",6,2985,6583,4050,9995.00000000001,0.737037037037037,0.658629314657328,0.893617663102907
"7","Aerobic_SOC2","LB012","None","None","None","B_frag_TCS3",7,2758,5850,4050,9995.00000000001,0.680987654320988,0.585292646323161,0.859476148516607
"8","Aerobic_SOC2","LB012","None","None","None","B_producta_TCS1",8,2377,6457,4050,9995.00000000001,0.586913580246914,0.646023011505752,1.10071232503084
"9","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS9",9,2860,5118,4050,9995.00000000001,0.706172839506173,0.512056028014007,0.72511430540445
"10","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS2",10,7700,154,4050,9995.00000000001,1.90123456790124,0.015407703851926,0.008104052026013
"11","Aerobic_SOC2","LB012","None","None","None","Y_enterocolitica_TCS3",11,2380,4395,4050,9995.00000000001,0.587654320987654,0.439719859929965,0.748262786855612
"12","Aerobic_SOC2","LB012","None","None","None","K_pneumonia_TCS3",12,6013,775,4050,9995.00000000001,1.48469135802469,0.0775387693846923,0.0522255140542165
"13","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS5",13,1748,3964,4050,9995.00000000001,0.431604938271605,0.396598299149575,0.9188919402493
"14","Aerobic_SOC2","LB012","None","None","None","K_pneumonia_TCS7",14,2470,3553,4050,9995.00000000001,0.609876543209877,0.355477738869434,0.58286835725555
"15","Aerobic_SOC2","LB012","None","None","None","K_pneumoniae_TCS10",15,4499,166,4050,9995.00000000001,1.11086419753086,0.016608304152076,0.0149507961360098
"16","Aerobic_SOC2","LB012","None","None","None","E_faecalis_TCS2",16,1310,2802,4050,9995.00000000001,0.323456790123457,0.280340170085042,0.866700525835436
"17","Aerobic_SOC2","LB012","None","None","None","E_tarda_TCS7",17,2039,0,4050,9995.00000000001,0.503456790123457,0,0
"18","Aerobic_SOC2","LB012","None","None","None","E_tarda_TCS7",18,1935,0,4050,9995.00000000001,0.477777777777778,0,0
"19","Aerobic_SOC2","LB012","None","None","None","K_pneumonia_TCS3",19,2164,1870,4050,9995.00000000001,0.534320987654321,0.187093546773387,0.350151970624868
"20","Aerobic_SOC2","LB012","None","None","None","K_pneumonia_TCS3",20,3018,596,4050,9995.00000000001,0.745185185185185,0.0596298149074537,0.0800201293489686
"21","Aerobic_SOC2","LB012","None","None","None","B_frag_TCS3",21,1319,2362,4050,9995.00000000001,0.325679012345679,0.23631815907954,0.725616788682438
"22","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS11",22,1743,1867,4050,9995.00000000001,0.43037037037037,0.186793396698349,0.434029407130415
"23","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS9",23,1113,2104,4050,9995.00000000001,0.274814814814815,0.210505252626313,0.765989463734562
"24","Aerobic_SOC2","LB012","None","None","None","C_rodentium_TCS11",24,994,1990,4050,9995.00000000001,0.245432098765432,0.199099549774887,0.811220499585808
"25","Aerobic_SOC2","LB012","None","None","None","E_faecalis_TCS2",25,898,1974,4050,9995.00000000001,0.221728395061728,0.197498749374687,0.890723758315683
"26","Aerobic_SOC2","LB012","None","None","None","V_cholera_TCS4",26,827,1863,4050,9995.00000000001,0.204197530864198,0.186393196598299,0.912808278383447
"27","Aerobic_SOC2","LB012","None","None","None","V_cholera_TCS4",27,1115,1450,4050,9995.00000000001,0.275308641975309,0.145072536268134,0.526945086893222
"28","Aerobic_SOC2","LB012","None","None","None","S_enterica_TCS4",28,1248,1211,4050,9995.00000000001,0.308148148148148,0.121160580290145,0.393189383153115
